,PM10 Cumulative Hazard Index PAC2
BLOCK 4021,1.485686135640054e-41
BLOCK 4022,5.245578677800035e-301
BLOCK 4023,2.253260115605577e-35
BLOCK 4024,7.896047878592974e-36
BLOCK 4025,4.1702976685771005e-37
BLOCK 4026,7.783349307194276e-39
BLOCK 4027,1.161316737819378e-40
BLOCK 4028,6.64175328820307e-40
BLOCK 4029,6.278340999946331e-40
BLOCK 4030,2.1171094769515376e-37
BLOCK 4031,2.3893374618149254e-44
BLOCK 4032,7.607099673038337e-40
BLOCK 4033,1.9054038314562362e-45
BLOCK 5000,6.575721482246442e-142
BLOCK 5001,1.5681166206608536e-133
BLOCK 5002,1.3539110877219325e-125
BLOCK 5003,5.32704559614007e-119
BLOCK 5004,4.612961622828619e-109
BLOCK 5005,4.227159392034584e-124
BLOCK 5006,6.158719241090473e-121
BLOCK 5007,3.714291028360629e-149
BLOCK 5008,9.277735119657545e-149
BLOCK 5009,8.190391201837947e-140
BLOCK 5010,4.053034948068734e-133
BLOCK 5011,1.4403003171801565e-125
BLOCK 5012,1.342916977946771e-117
BLOCK 5013,4.1856807839978453e-119
BLOCK 5014,2.0048849969441533e-145
BLOCK 5015,5.067636316728606e-149
BLOCK 5016,1.6939396813470353e-114
BLOCK 5017,3.8435571505594666e-142
BLOCK 5018,7.770883890107379e-151
BLOCK 5019,5.867518951420814e-141
BLOCK 5020,1.200680383872408e-94
BLOCK 5021,2.933946746733515e-78
BLOCK 5022,2.892236143961588e-96
BLOCK 5023,3.7118907240160984e-102
BLOCK 5024,4.679831093919763e-127
BLOCK 5025,2.6521147113494095e-188
BLOCK 5026,1.1325906304653312e-105
BLOCK 5027,7.660708305373623e-56
BLOCK 5028,2.214252601964098e-47
BLOCK 5029,1.0694287185035555e-82
BLOCK 5032,6.774074137847817e-97
BLOCK 5033,2.3748686959453984e-74
BLOCK 5034,1.0956028810978809e-56
BLOCK 5035,5.881936107029552e-146
BLOCK 2063,1.4533701149176202e-24
BLOCK 4034,1.6775969416012893e-40
BLOCK 4035,4.866904079271843e-40
BLOCK 4036,1.6340333110505918e-40
BLOCK 4037,6.934190991274212e-40
BLOCK 4038,1.0344766866620407e-36
BLOCK 4039,1.5966626947402452e-36
BLOCK 4040,1.6995714740176128e-34
BLOCK 4041,2.4278326980489096e-39
BLOCK 4042,6.241113245957684e-37
BLOCK 4043,3.545914312592946e-39
BLOCK 4044,7.114087903202675e-42
BLOCK 4045,3.2997385125122037e-44
BLOCK 4046,1.0558814393746461e-44
BLOCK 4048,1.5988719626016758e-48
BLOCK 4049,1.220719322046071e-49
BLOCK 4050,7.614617290311385e-51
BLOCK 4051,3.59003645721265e-47
BLOCK 4052,1.1625708527852059e-45
BLOCK 4053,3.216585941955344e-45
BLOCK 4054,3.3569721373180524e-44
BLOCK 4055,7.597414937536397e-44
BLOCK 4056,4.7334780526977435e-42
BLOCK 4058,4.652241332364481e-44
BLOCK 4059,4.1747197204231076e-44
BLOCK 4061,2.472774810281984e-39
BLOCK 4062,6.152336334111948e-40
BLOCK 2035,3.6568719709605283e-22
BLOCK 2037,3.130152258057957e-23
BLOCK 2038,5.0474748449525005e-24
BLOCK 2040,2.899070660611137e-23
BLOCK 2041,7.839568208103352e-20
BLOCK 2042,8.671827638995851e-20
BLOCK 2043,1.2035922482628618e-19
BLOCK 2044,1.322070867043523e-19
BLOCK 1045,6.327009629299922e-20
BLOCK 1047,8.373420640574126e-21
BLOCK 1041,6.477614315605384e-23
BLOCK 1042,5.0633942122275445e-21
BLOCK 1043,1.1184386694983988e-20
BLOCK 1044,7.760006664988445e-20
BLOCK 1046,9.098558634213396e-20
BLOCK 2033,7.344729065781031e-21
BLOCK 2045,1.0992082048622831e-19
BLOCK 2046,1.0950946669524564e-19
BLOCK 2047,1.2416628651642676e-19
BLOCK 2048,1.3871291444379356e-19
BLOCK 2049,1.4227914479751486e-19
BLOCK 2050,1.4574309614208896e-19
BLOCK 2052,1.3666029630921096e-19
BLOCK 2062,1.6338931704100634e-22
BLOCK 2031,1.0236435528796016e-36
BLOCK 2032,2.627659125226163e-35
BLOCK 2034,5.531955855306673e-23
BLOCK 2036,6.403673824740907e-23
BLOCK 2039,2.172975504183873e-21
BLOCK 2053,1.4600206173724853e-19
BLOCK 2057,1.021245757053955e-36
BLOCK 2058,1.3189723927917674e-37
BLOCK 2065,2.4414311445497405e-20
BLOCK 2066,3.910726155805402e-20
BLOCK 2067,3.834715830951468e-24
BLOCK 4063,1.6855636799330768e-40
BLOCK 4064,9.426353766407444e-42
BLOCK 4065,1.4434555335515533e-34
