,PM2.5 Cumulative Hazard Index PAC3
BLOCK 3022,1.0829641740598199e-25
BLOCK 3023,6.50235581025371e-25
BLOCK 3024,6.371074417120226e-26
BLOCK 3029,3.425920532278249e-27
BLOCK 2030,6.633133335335989e-23
BLOCK 3000,1.7996542250170228e-23
BLOCK 3016,3.0811485293820373e-24
BLOCK 3032,3.537514428826411e-34
BLOCK 3033,1.9355236929274258e-39
BLOCK 3034,3.7430032347627465e-26
BLOCK 3035,1.1870260184078738e-28
BLOCK 3036,1.76800552263383e-84
BLOCK 3037,1.7408552661249008e-88
BLOCK 3038,3.156649014402485e-20
BLOCK 4002,8.204895616715805e-29
BLOCK 4003,7.580250941426958e-23
BLOCK 4004,5.694917884856962e-23
BLOCK 4005,4.953258860415129e-32
BLOCK 4006,4.099304569473273e-35
BLOCK 4007,1.1164885336082392e-32
BLOCK 4008,2.619464671577042e-22
BLOCK 4009,9.079019845686079e-23
BLOCK 4010,6.54753081191655e-23
BLOCK 4011,2.5131346705641333e-23
BLOCK 4012,3.7396326988348236e-23
BLOCK 4013,4.898672595119007e-22
BLOCK 4014,1.202676606630321e-22
BLOCK 4015,1.472100449057511e-22
BLOCK 4016,1.9692716849832303e-59
BLOCK 4017,8.670322029638434e-23
BLOCK 4018,4.265847275035775e-28
BLOCK 4019,2.0603801059810082e-22
BLOCK 4020,1.2530007919670538e-23
BLOCK 4021,1.4524937623335557e-23
BLOCK 4022,8.327653442666009e-91
BLOCK 4023,1.5109019059691328e-21
BLOCK 4024,1.0919132507951096e-21
BLOCK 4025,4.1903341577721253e-22
BLOCK 4026,1.4381820034962533e-22
BLOCK 4027,4.290136525028091e-23
BLOCK 4028,7.395007940996861e-23
BLOCK 4029,7.59651148747168e-23
BLOCK 4030,3.993307948294824e-22
BLOCK 4031,4.0578950906739385e-24
BLOCK 4032,7.517794519540933e-24
BLOCK 4033,1.3136999892116523e-24
BLOCK 5000,1.4448298463209244e-50
BLOCK 5001,1.5277264926854375e-48
BLOCK 5002,1.4045712209467962e-46
BLOCK 5003,6.341259809577792e-45
BLOCK 5004,2.0661081414811455e-42
BLOCK 5005,1.735160809481059e-46
BLOCK 5006,3.9607719222504e-46
BLOCK 5007,2.9074725353390318e-53
BLOCK 5008,1.2523151896533552e-53
BLOCK 5009,1.899497751338938e-51
BLOCK 5010,4.1857843277908103e-50
BLOCK 5011,5.0835800885732797e-48
BLOCK 5012,7.037667730360092e-46
BLOCK 5013,9.897080624772116e-47
BLOCK 5014,6.2322622417511264e-58
BLOCK 5015,3.845598644178562e-55
BLOCK 5016,8.373344262235716e-47
BLOCK 5017,6.7669098201216495e-53
BLOCK 5018,7.398183416477335e-55
BLOCK 5019,3.616617335179674e-52
BLOCK 5020,1.4566279974065926e-42
BLOCK 5021,1.5804168104197736e-37
BLOCK 5022,1.1262950021120844e-48
BLOCK 5023,6.32549050966161e-48
BLOCK 5024,1.685933815872351e-54
BLOCK 5025,8.771448056679408e-71
BLOCK 5026,2.4288889448713378e-45
BLOCK 5027,7.929231442344596e-33
BLOCK 5028,1.5095944302809886e-32
BLOCK 5029,3.28904905282312e-42
BLOCK 5032,3.0001638130201867e-53
BLOCK 5033,3.4670638489619414e-38
BLOCK 5034,2.9740605693822194e-30
BLOCK 5035,1.4060661687062036e-55
BLOCK 2063,2.463911761912189e-19
BLOCK 4034,2.3016544854046763e-24
BLOCK 4035,1.2370580257129574e-23
BLOCK 4036,1.4585270880100358e-23
BLOCK 4037,3.1168271512171923e-23
BLOCK 4038,4.0539122266966996e-23
BLOCK 4039,2.6829914030773926e-22
BLOCK 4040,4.0112364384670315e-22
BLOCK 4041,1.4887268764954765e-24
BLOCK 4042,4.5106382485159626e-24
BLOCK 4043,3.348609794379221e-25
BLOCK 4044,4.1780909086746535e-25
BLOCK 4045,1.5191568757553777e-25
BLOCK 4046,8.641572524998336e-25
BLOCK 4048,2.3623371308536528e-25
BLOCK 4049,1.1614474976311593e-25
BLOCK 4050,4.898082460646457e-26
BLOCK 4051,2.0972583174789153e-26
BLOCK 4052,8.48058847950951e-26
BLOCK 4053,1.4456666581853723e-25
BLOCK 4054,3.0365149287426776e-25
BLOCK 4055,2.540080438779684e-25
BLOCK 4056,3.158879091120308e-26
BLOCK 4058,6.914548572977321e-26
BLOCK 4059,9.53950309465413e-26
BLOCK 4061,5.910035881556715e-26
BLOCK 4062,6.220606955063899e-26
BLOCK 2035,4.627370239451024e-18
BLOCK 2037,2.6436027201825016e-18
BLOCK 2038,1.9539485865317076e-18
BLOCK 2040,1.2993746354388947e-19
BLOCK 2041,1.5471162752848707e-17
BLOCK 2042,1.548207096428804e-17
BLOCK 2043,1.3628837061808316e-17
BLOCK 2044,1.3801475421302426e-17
BLOCK 1045,6.0428502661447715e-18
BLOCK 1047,9.028130525543755e-19
BLOCK 1041,1.6661135583067984e-19
BLOCK 1042,1.7735379557345577e-18
BLOCK 1043,4.0140755884736584e-18
BLOCK 1044,7.8919641063013e-18
BLOCK 1046,8.702975483071365e-18
BLOCK 2033,1.0061552007293932e-17
BLOCK 2045,1.1687783291900106e-17
BLOCK 2046,1.110386721037837e-17
BLOCK 2047,1.2206336660358486e-17
BLOCK 2048,1.3241964759134329e-17
BLOCK 2049,1.289220068464335e-17
BLOCK 2050,1.255613102236082e-17
BLOCK 2052,1.48988889812016e-17
BLOCK 2062,9.387799491999825e-19
BLOCK 2031,4.170040055485317e-22
BLOCK 2032,1.2299368599190715e-21
BLOCK 2034,2.4438287586177464e-18
BLOCK 2036,3.498612827069663e-18
BLOCK 2039,3.8279468377670975e-18
BLOCK 2053,1.4134606194896504e-17
BLOCK 2057,1.4325522023809188e-22
BLOCK 2058,1.8821488295922156e-22
BLOCK 2065,1.175647187212949e-17
BLOCK 2066,1.1166418859867853e-17
BLOCK 2067,1.0710522794632642e-18
BLOCK 4063,4.054725753523391e-26
BLOCK 4064,1.7246085193540919e-26
BLOCK 4065,4.433357496886774e-22
