,PM10 Cumulative Hazard Index PAC1
BLOCK 2038,1.0972136911869802e-24
BLOCK 2040,1.2770915118651047e-23
BLOCK 2041,7.439491546457354e-20
BLOCK 2042,8.334156361162227e-20
BLOCK 2043,1.2175227037584737e-19
BLOCK 2044,1.3489991918712524e-19
BLOCK 1045,6.381490934514625e-20
BLOCK 1047,7.791457092685558e-21
BLOCK 1041,3.440644934518181e-23
BLOCK 1042,4.173095784851267e-21
BLOCK 1043,9.52101046574164e-21
BLOCK 1044,7.839515694527437e-20
BLOCK 1046,9.27533009834441e-20
BLOCK 2033,5.30431395497089e-21
BLOCK 2045,1.1164735194341137e-19
BLOCK 2046,1.1165406882776887e-19
BLOCK 2047,1.2724298354689193e-19
BLOCK 2048,1.4276701402295147e-19
BLOCK 2049,1.4714904254189327e-19
BLOCK 2050,1.5142345391153005e-19
BLOCK 2052,1.3889192504626596e-19
BLOCK 2062,8.167160779328404e-23
BLOCK 2031,3.3511708760971182e-37
BLOCK 2032,1.0291298677445403e-35
BLOCK 2034,2.0210519915300838e-23
BLOCK 2036,2.2468243478656915e-23
BLOCK 2039,1.47040855876325e-21
BLOCK 2053,1.5017515766330327e-19
BLOCK 2057,3.5597702729709064e-37
BLOCK 2058,3.8517838148837623e-38
BLOCK 2065,2.065257487572874e-20
BLOCK 2066,3.5453974134358996e-20
BLOCK 2067,8.850602997901838e-25
BLOCK 4063,9.751249511514959e-43
BLOCK 4064,2.8499557308312387e-44
BLOCK 4065,2.7946366237566427e-35
