,PM2.5 Cumulative Hazard Index PAC3
BLOCK 4014,5.096676400539427e-23
BLOCK 4015,6.482113374688583e-23
BLOCK 4016,2.7276576982943665e-81
BLOCK 4017,3.558747775257147e-23
BLOCK 4018,4.701259044685956e-29
BLOCK 4019,8.062013786015107e-23
BLOCK 4020,4.0290542174142224e-24
BLOCK 4021,3.936636471318167e-24
BLOCK 4022,5.684042291057354e-161
BLOCK 4023,7.213022871945036e-22
BLOCK 4024,5.027837742657218e-22
BLOCK 4025,1.730049527657713e-22
BLOCK 4026,5.0654425546317e-23
BLOCK 4027,1.258619322086348e-23
BLOCK 4028,2.3419478983593763e-23
BLOCK 4029,2.3878320788784747e-23
BLOCK 4030,1.6014082990734625e-22
BLOCK 4031,7.85274442227665e-25
BLOCK 4032,1.692329454496874e-24
BLOCK 4033,2.0688397322968987e-25
BLOCK 5000,2.2452663437558004e-64
BLOCK 5001,1.3498232207065456e-60
BLOCK 5002,4.533981052942691e-57
BLOCK 5003,3.387851082428288e-54
BLOCK 5004,5.427200668171925e-50
BLOCK 5005,8.185562055172667e-57
BLOCK 5006,4.8714919009855145e-56
BLOCK 5007,3.49951286016229e-69
BLOCK 5008,1.0993472652435593e-69
BLOCK 5009,1.845233087948847e-65
BLOCK 5010,8.258980967516851e-63
BLOCK 5011,4.189441864642181e-59
BLOCK 5012,2.1142680917806446e-55
BLOCK 5013,1.0525361259791567e-56
BLOCK 5014,2.1011245080821595e-75
BLOCK 5015,5.898706163315486e-72
BLOCK 5016,2.3810146273263264e-56
BLOCK 5017,7.881711091362539e-68
BLOCK 5018,9.100307704884904e-72
BLOCK 5019,1.231427791342664e-66
BLOCK 5020,5.323501104571405e-49
BLOCK 5021,1.4623684950115335e-41
BLOCK 5022,2.0275315755621074e-56
BLOCK 5023,2.423123600476771e-56
BLOCK 5024,5.489972165112446e-68
BLOCK 5025,5.521626522686675e-102
BLOCK 5026,1.5308377860662192e-53
BLOCK 5027,1.341487073781969e-35
BLOCK 5028,2.7892316550455633e-35
BLOCK 5029,2.3805321399155957e-49
BLOCK 5032,1.2596793421153797e-61
BLOCK 5033,5.36386195251527e-42
BLOCK 5034,3.897124593651409e-32
BLOCK 5035,3.6975477328158036e-72
BLOCK 2063,6.972231395739578e-20
BLOCK 4034,4.172271751788641e-25
BLOCK 4035,3.025328361095449e-24
BLOCK 4036,3.6508778324245876e-24
BLOCK 4037,8.873508622860072e-24
BLOCK 4038,1.2393183687511302e-23
BLOCK 4039,1.0850608317080884e-22
BLOCK 4040,1.7477818477300988e-22
BLOCK 4041,2.517125477094713e-25
BLOCK 4042,9.552218933299095e-25
BLOCK 4043,4.244296290590121e-26
BLOCK 4044,5.390343033150867e-26
BLOCK 4045,1.5620111391257785e-26
BLOCK 4046,1.2601642737912496e-25
BLOCK 4048,2.7184774700527384e-26
BLOCK 4049,1.1409426797161378e-26
BLOCK 4050,4.083827099978954e-27
BLOCK 4051,1.3733060171920714e-27
BLOCK 4052,7.634419827637672e-27
BLOCK 4053,1.462256094964546e-26
BLOCK 4054,3.605212047286473e-26
BLOCK 4055,2.9143733626954666e-26
BLOCK 4056,2.3497627308553398e-27
BLOCK 4058,6.010243542180026e-27
BLOCK 4059,8.888546227304827e-27
BLOCK 4061,5.198905296391223e-27
BLOCK 4062,5.497781721342785e-27
BLOCK 2035,2.7837042817348638e-18
BLOCK 2037,1.256131646366341e-18
BLOCK 2038,7.564996944042997e-19
BLOCK 2040,4.704206777083251e-20
BLOCK 2041,1.3610648042004924e-17
BLOCK 2042,1.3723669653057872e-17
BLOCK 2043,1.2402555307412407e-17
BLOCK 2044,1.2618866590236888e-17
BLOCK 1045,5.313394565748394e-18
BLOCK 1047,6.842794355376458e-19
BLOCK 1041,7.670922025061219e-20
BLOCK 1042,1.2931932371242468e-18
BLOCK 1043,3.1492015751979973e-18
BLOCK 1044,7.033391157325371e-18
BLOCK 1046,7.826861712666612e-18
BLOCK 2033,7.622829000867667e-18
BLOCK 2045,1.0613029271449905e-17
BLOCK 2046,1.0084511126707546e-17
BLOCK 2047,1.1149413482715872e-17
BLOCK 2048,1.2149523718787575e-17
BLOCK 2049,1.184962743482178e-17
BLOCK 2050,1.155911132420942e-17
BLOCK 2052,1.3610560400429208e-17
BLOCK 2062,4.716175532763619e-19
BLOCK 2031,1.805170181225845e-22
BLOCK 2032,5.948536821365931e-22
BLOCK 2034,1.234185586286172e-18
BLOCK 2036,1.76991971031796e-18
BLOCK 2039,2.674047601128994e-18
BLOCK 2053,1.298281799528379e-17
BLOCK 2057,6.482107842094836e-23
BLOCK 2058,7.576392609497472e-23
BLOCK 2065,9.714125817790676e-18
BLOCK 2066,9.559482705357957e-18
BLOCK 2067,4.0463597851586055e-19
BLOCK 4063,3.242115913421484e-27
BLOCK 4064,1.1211020289505883e-27
BLOCK 4065,1.9567957452927662e-22
