,PM2.5 Cumulative Hazard Index PAC3
BLOCK 2002,3.440824293957531e-19
BLOCK 2003,3.136502175107939e-19
BLOCK 2004,9.061647828085697e-27
BLOCK 2005,5.8810914866298255e-30
BLOCK 2006,2.181530318782759e-30
BLOCK 2007,4.529603376422827e-30
BLOCK 2010,2.091973163316109e-28
BLOCK 2011,2.5352952057943803e-19
BLOCK 2012,2.7633519115002416e-20
BLOCK 2026,5.1303655827803225e-23
BLOCK 2027,1.264627642154085e-23
BLOCK 2051,4.042308322112159e-19
BLOCK 2054,3.69061438992333e-19
BLOCK 2055,1.3868168656813108e-20
BLOCK 2056,9.805373246646428e-20
BLOCK 5030,7.379870067801391e-66
BLOCK 5031,3.0706875641392368e-55
BLOCK 1012,9.167649864223897e-19
BLOCK 1013,1.0005987094454587e-65
BLOCK 1014,2.774520816690794e-130
BLOCK 1015,7.075029847155439e-19
BLOCK 1021,4.246889656441139e-28
BLOCK 1022,5.327867357080405e-28
BLOCK 1023,9.284871303648996e-23
BLOCK 1031,5.585976541017747e-23
BLOCK 1032,1.0606034027381413e-22
BLOCK 1034,1.5704413207018559e-25
BLOCK 1036,9.845404424872343e-20
BLOCK 1048,3.472654382446063e-19
BLOCK 1049,2.7300749588404887e-25
BLOCK 1050,7.363522455717659e-23
BLOCK 1051,4.803691844112782e-19
BLOCK 1053,7.161949979802715e-19
BLOCK 1055,5.574802394375343e-59
BLOCK 1056,3.7974732564148934e-56
BLOCK 1057,9.311605539964203e-66
BLOCK 1058,7.927509083439472e-19
BLOCK 1059,5.433995782749834e-20
BLOCK 1060,1.3957950934916403e-28
BLOCK 1061,1.6043437904968402e-23
BLOCK 1062,1.6111523205838428e-24
BLOCK 1063,2.1872542271741266e-22
BLOCK 1064,1.912219757316e-21
BLOCK 1065,1.838889188009986e-38
BLOCK 1066,2.2213373725778573e-29
BLOCK 1067,3.4720768098957293e-41
BLOCK 3039,3.31012024362481e-27
BLOCK 3040,3.1919429378837015e-27
BLOCK 3041,1.82883154674615e-27
BLOCK 3042,5.0239624441845926e-27
BLOCK 3043,1.0853723349995186e-26
BLOCK 3044,7.892124688764417e-28
BLOCK 3045,1.4320920164216422e-29
BLOCK 3046,3.037233132926048e-30
BLOCK 3047,1.760724423221978e-31
BLOCK 3048,2.8334610276500567e-27
BLOCK 3049,8.976391237832655e-26
BLOCK 3050,1.0619116592048311e-28
BLOCK 2059,2.609753271988328e-20
BLOCK 2060,3.8246669657471833e-20
BLOCK 2061,6.016886915926007e-21
BLOCK 2064,2.4316352177594374e-21
BLOCK 2014,1.7077422146734086e-22
BLOCK 2015,4.798388945801506e-21
BLOCK 2016,1.1292406269659458e-25
BLOCK 2017,6.808386090279286e-29
BLOCK 2018,1.0780749168972396e-26
BLOCK 2019,2.751794216348063e-63
BLOCK 2020,2.8230096154458353e-265
BLOCK 2021,1.9975573892332275e-24
BLOCK 2022,3.36707208829639e-31
BLOCK 2023,5.035384879799103e-34
BLOCK 2024,1.4961241253346359e-34
BLOCK 3001,6.553447898458679e-39
BLOCK 3002,5.1554813637047656e-39
BLOCK 3003,1.3571379740054924e-40
BLOCK 3004,6.990841642641342e-43
BLOCK 3005,1.4245838200394285e-40
BLOCK 3006,3.084527889734339e-41
BLOCK 3007,1.8975455266352943e-44
BLOCK 3008,1.050354812893506e-54
BLOCK 3009,3.1717003699813352e-53
BLOCK 3018,1.627335996337989e-39
BLOCK 3019,3.4684200671109826e-56
BLOCK 3020,7.004775570368479e-50
BLOCK 3021,3.0656813709785147e-47
BLOCK 3022,1.1913550898975984e-45
BLOCK 3023,2.1582397971360556e-43
BLOCK 3024,1.3739766999445253e-47
BLOCK 3029,4.7289931636630774e-51
BLOCK 2030,4.0183656507479004e-37
BLOCK 3000,1.4672045672676987e-38
BLOCK 3016,6.938588667744747e-41
BLOCK 3032,2.2123546997264388e-72
BLOCK 3033,2.488282513138029e-90
BLOCK 3034,2.6092898086842046e-48
BLOCK 3035,2.05820166908309e-55
BLOCK 3036,1.8919574622290014e-206
BLOCK 3037,1.2402634559303638e-217
BLOCK 3038,7.351847603413523e-26
BLOCK 4002,1.2942397275133503e-55
BLOCK 4003,2.265170274001579e-36
BLOCK 4004,9.624305268042294e-37
BLOCK 4005,7.310295442077983e-52
BLOCK 4006,3.737665997084314e-53
BLOCK 4007,3.050198967949391e-48
BLOCK 4008,1.0832080172721767e-34
BLOCK 4009,3.439992053548025e-36
BLOCK 4010,1.3137869668213748e-36
BLOCK 4011,6.239897248724463e-38
BLOCK 4012,1.898549096290907e-37
BLOCK 4013,1.014161896092867e-34
BLOCK 4014,5.671476370039585e-36
BLOCK 4015,1.2507464112809425e-35
BLOCK 4016,7.402743908428736e-143
BLOCK 4017,2.1873113178262063e-36
BLOCK 4018,1.1648759016640747e-43
BLOCK 4019,1.9942621598709736e-36
BLOCK 4020,5.5699183112141924e-39
BLOCK 4021,6.8822616650261695e-40
BLOCK 4022,4.109437334195548e-227
BLOCK 4023,3.700866356813221e-34
BLOCK 4024,1.3519179132237765e-34
BLOCK 4025,8.101487334434536e-36
BLOCK 4026,1.9753215926857894e-37
BLOCK 4027,3.9770727361708296e-39
BLOCK 4028,2.022754764355655e-38
BLOCK 4029,2.0840747123531855e-38
BLOCK 4030,4.5937815936518907e-36
BLOCK 4031,1.6405313078871308e-42
BLOCK 4032,5.409485185814165e-38
BLOCK 4033,6.111047308729371e-43
BLOCK 5000,2.2694424320268903e-122
BLOCK 5001,4.274661682257237e-116
BLOCK 5002,4.7153532429533806e-110
BLOCK 5003,5.874530144579328e-105
BLOCK 5004,3.7815476541347917e-97
BLOCK 5005,6.262799538023285e-109
BLOCK 5006,1.590692853066611e-106
BLOCK 5007,8.030079524193839e-128
BLOCK 5008,1.401624545814502e-127
BLOCK 5009,5.95900840416146e-121
BLOCK 5010,6.024627827482914e-116
BLOCK 5011,3.629372598360136e-110
BLOCK 5012,5.5751538599621356e-104
BLOCK 5013,3.381018811990266e-105
BLOCK 5014,1.0723467225135743e-125
BLOCK 5015,6.219662230886174e-128
BLOCK 5016,1.054090575379984e-101
BLOCK 5017,8.835969306810822e-123
BLOCK 5018,3.4932461532656784e-129
BLOCK 5019,7.493702780816592e-122
BLOCK 5020,8.090100773547121e-86
BLOCK 5021,4.719590781479562e-72
BLOCK 5022,4.690456655462156e-88
BLOCK 5023,1.1980044575584e-92
BLOCK 5024,6.172673847251069e-112
BLOCK 5025,4.180167026214727e-157
BLOCK 5026,3.62722660671332e-95
BLOCK 5027,6.53204609126112e-50
BLOCK 5028,5.94949601220284e-43
BLOCK 5029,1.3836825252691466e-67
BLOCK 5032,7.033012078776314e-89
BLOCK 5033,3.1595468468188677e-69
BLOCK 5034,1.7646732780097004e-51
BLOCK 5035,1.596948388278223e-119
BLOCK 2063,1.4777036377536572e-23
BLOCK 4034,1.753500715664811e-38
BLOCK 4035,3.26219913827182e-38
BLOCK 4036,1.1644250549031833e-38
BLOCK 4037,3.6291949842163203e-38
BLOCK 4038,2.8059184355159715e-35
BLOCK 4039,3.010258910119202e-35
BLOCK 4040,2.2071376929792742e-33
BLOCK 4041,2.0998510612692004e-37
BLOCK 4042,2.5720350493384717e-35
BLOCK 4043,3.859591670159055e-37
BLOCK 4044,1.4697733325543187e-39
BLOCK 4045,1.5610441610242747e-41
BLOCK 4046,3.749656381094871e-42
BLOCK 4048,2.5728733310323826e-46
BLOCK 4049,2.4949701702155544e-47
BLOCK 4050,1.9932365297375563e-48
BLOCK 4051,6.280986900518208e-44
BLOCK 4052,9.367689694805212e-43
BLOCK 4053,2.0210952150124005e-42
BLOCK 4054,1.3525574120664784e-41
BLOCK 4055,2.9063708285463084e-41
BLOCK 4056,1.722286117707819e-39
BLOCK 4058,2.5208790169434837e-41
BLOCK 4059,2.1333774231875435e-41
BLOCK 4061,3.7886218682577876e-37
BLOCK 4062,1.099842915930685e-37
BLOCK 2035,1.9303901224870472e-21
BLOCK 2037,2.3317459149117624e-22
BLOCK 2038,5.0869134589748084e-23
BLOCK 2040,1.68000251508879e-22
BLOCK 2041,2.2927910407445274e-19
BLOCK 2042,2.507518871951425e-19
BLOCK 2043,3.3214627151812407e-19
BLOCK 2044,3.619099423529872e-19
BLOCK 1045,1.7510203570827652e-19
BLOCK 1047,2.4971810827822038e-20
BLOCK 1041,3.1782532809936157e-22
BLOCK 1042,1.6859936936680335e-20
BLOCK 1043,3.61554181252569e-20
BLOCK 1044,2.144453661681955e-19
BLOCK 1046,2.4932014145421098e-19
BLOCK 2033,2.7392184777516167e-20
BLOCK 2045,3.0222773960219095e-19
BLOCK 2046,3.0003328208861367e-19
BLOCK 2047,3.3856636453781387e-19
BLOCK 2048,3.7668309965458657e-19
BLOCK 2049,3.846249512494133e-19
BLOCK 2050,3.923050595560691e-19
BLOCK 2052,3.75437124778779e-19
BLOCK 2062,8.54040055561844e-22
BLOCK 2031,2.4057496740230922e-35
BLOCK 2032,5.386984750813339e-34
BLOCK 2034,3.678918575973055e-22
BLOCK 2036,4.386194631609189e-22
BLOCK 2039,8.601075741590264e-21
BLOCK 2053,3.966833470682877e-19
BLOCK 2057,1.6829234266051328e-35
BLOCK 2058,3.3493927663985763e-36
BLOCK 2065,7.924384086040458e-20
BLOCK 2066,1.193341001309388e-19
BLOCK 2067,3.7059603916899136e-23
BLOCK 4063,3.793526555236503e-38
BLOCK 4064,3.5382198435627146e-39
BLOCK 4065,1.8674553310620398e-33
