,PM10 Cumulative Hazard Index PAC1
BLOCK 4044,7.974289651008989e-40
BLOCK 4045,8.448065486117648e-42
BLOCK 4046,2.0305958680121012e-42
BLOCK 4048,5.034312612105389e-47
BLOCK 4049,5.1127747646797394e-48
BLOCK 4050,3.8196949846975346e-49
BLOCK 4051,3.3851033098918086e-44
BLOCK 4052,5.062181249660862e-43
BLOCK 4053,1.093234958994976e-42
BLOCK 4054,7.327307441727219e-42
BLOCK 4055,1.5743156452065158e-41
BLOCK 4056,9.308762361135864e-40
BLOCK 4058,1.3627545320549122e-41
BLOCK 4059,1.1537973851253602e-41
BLOCK 4061,2.0524824761521403e-37
BLOCK 4062,5.956784062936108e-38
BLOCK 2035,1.0480375920191394e-21
BLOCK 2037,1.2602160848486797e-22
BLOCK 2038,2.740330313798374e-23
BLOCK 2040,9.100234328450259e-23
BLOCK 2041,1.2602700861587634e-19
BLOCK 2042,1.378702389272569e-19
BLOCK 2043,1.8290877741266134e-19
BLOCK 2044,1.993596349594425e-19
BLOCK 1045,9.649603657719709e-20
BLOCK 1047,1.3761244973435406e-20
BLOCK 1041,1.7343049023228865e-22
BLOCK 1042,9.250951885517764e-21
BLOCK 1043,1.9832760328528253e-20
BLOCK 1044,1.1814360136140097e-19
BLOCK 1046,1.3738689162068362e-19
BLOCK 2033,1.496355933344275e-20
BLOCK 2045,1.6647051206094327e-19
BLOCK 2046,1.6529151434126497e-19
BLOCK 2047,1.8654110649488445e-19
BLOCK 2048,2.0756605614580602e-19
BLOCK 2049,2.1198380126076284e-19
BLOCK 2050,2.1625809055926906e-19
BLOCK 2052,2.0678141034263282e-19
BLOCK 2062,4.585618925127921e-22
BLOCK 2031,4.5392130243019347e-36
BLOCK 2032,9.876732373226452e-35
BLOCK 2034,1.9912551541537335e-22
BLOCK 2036,2.3732859955653786e-22
BLOCK 2039,4.6950520138446664e-21
BLOCK 2053,2.1857709540862907e-19
BLOCK 2057,4.273473401246168e-36
BLOCK 2058,6.495124953120156e-37
BLOCK 2065,4.342833010541811e-20
BLOCK 2066,6.551043850426427e-20
BLOCK 2067,1.9977140863406047e-23
BLOCK 4063,2.0527349524462217e-38
BLOCK 4064,1.9110563837167337e-39
BLOCK 4065,1.0111300552186608e-33
