,ethyl_acryl_100 Cumulative Hazard Index PAC2
BLOCK 4050,1.702315616506469e-06
BLOCK 4051,2.3052958270790684e-06
BLOCK 4052,2.1158513246578367e-06
BLOCK 4053,2.0389415041220167e-06
BLOCK 4054,1.9121376270484495e-06
BLOCK 4055,1.915778151221266e-06
BLOCK 4056,1.979015465329752e-06
BLOCK 4058,2.082901144921104e-06
BLOCK 4059,2.0471575322553734e-06
BLOCK 4061,1.4891541990047384e-06
BLOCK 4062,1.5933023611175244e-06
BLOCK 2035,4.593613796457879e-06
BLOCK 2037,5.472660545728577e-06
BLOCK 2038,7.0595462472755945e-06
BLOCK 2040,2.0403223298390448e-06
BLOCK 2041,3.0995183646976285e-06
BLOCK 2042,2.644633864751469e-06
BLOCK 2043,2.084327057992254e-06
BLOCK 2044,2.042773750147454e-06
BLOCK 1045,7.710306174767076e-07
BLOCK 1047,3.0803157473582396e-07
BLOCK 1041,6.614672797373243e-07
BLOCK 1042,4.899370042070944e-07
BLOCK 1043,8.632478359017633e-07
BLOCK 1044,1.07957064160703e-06
BLOCK 1046,1.1837463453594552e-06
BLOCK 2033,4.458158415449823e-06
BLOCK 2045,1.7500728353169794e-06
BLOCK 2046,1.6210347466983207e-06
BLOCK 2047,1.775257346619353e-06
BLOCK 2048,1.9027534229783902e-06
BLOCK 2049,1.8165867959377059e-06
BLOCK 2050,1.7332990740721662e-06
BLOCK 2052,2.1944482604884333e-06
BLOCK 2062,1.6988613126063631e-06
BLOCK 2031,2.645226536195693e-06
BLOCK 2032,2.389546684051922e-06
BLOCK 2034,3.864598457668594e-06
BLOCK 2036,7.664315433515123e-06
BLOCK 2039,3.3753428569012855e-06
BLOCK 2053,2.0247987726880223e-06
BLOCK 2057,3.715088244554251e-07
BLOCK 2058,1.4346263149861235e-06
BLOCK 2065,4.479748940735677e-06
BLOCK 2066,4.021546828265572e-06
BLOCK 2067,3.197885979884971e-06
BLOCK 4063,1.7229646826160533e-06
BLOCK 4064,1.99364242915039e-06
BLOCK 4065,3.5372371106450456e-07
